belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,release_year,return,actor,director
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",66597,en,"Harry and Sue Lewis met in the 40s as teenagers living in the Bronx. He was an aspiring architect, she was the most beautiful girl in school, and both had a fondness for bran muffins. They fell in love, got married, moved to Los Angeles, and had two kids. While struggling with his midlife crisis, Harry receives an invitation for his high school's reunion back so he takes Sue and their teenage kids on a cross-country car trip back to the Big Apple. Will they see in the Bronx what they expected? Will the good memories from their past help rekindle their fading love? Is it too late to dream?",0.462729,"[{'name': 'O.T.A. Productions', 'id': 36174}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1980-11-21,0.0,103.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Falling in Love Again,6.1,4.0,1980,0.0,"['Elliott Gould', 'Susannah York', 'Kaye Ballard']",Steven Paul
,0.0,"[{'id': 18, 'name': 'Drama'}]",14832,en,"After the death of her husband, the mother of Julie, Jack, Sue and Tom begins to suffer from a mysterious illness. Aware that she is going to have to go into hospital she opens a bank account for the children, so that they can be financially self-sufficient and will be able to avoid being taken into care by the authorities. Unfortunately she also dies and Julie and Jack (the older, teenage children) decide to hide her body in the basement so that they can have free reign of their household. Soon Tom has taken to dressing as a girl whilst Sue has become increasingly reticent, confiding only to her diary, meanwhile Jack and Julie sense an attraction developing for each other. However Julie's new beau, Derek, threatens to unearth the many dark secrets within this family as he becomes increasingly suspicious of Jack.",15.975485,"[{'name': 'Zweites Deutsches Fernsehen (ZDF)', 'id': 4606}, {'name': 'Neue Constantin Film', 'id': 13096}, {'name': 'Laurentic Film Productions', 'id': 20147}, {'name': 'Torii Production', 'id': 20148}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1993-02-20,322975.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Love knows no limits.,The Cement Garden,7.2,23.0,1993,0.0,"['Andrew Robertson', 'Charlotte Gainsbourg', 'Alice Coulthard']",Andrew Birkin
,116000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",9619,en,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",7.240753,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Pacific Western', 'id': 1280}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-07,178127760.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The pressure is building...,Dante's Peak,5.8,445.0,1997,1.5355841379310344,"['Pierce Brosnan', 'Linda Hamilton', 'Jamie Renée Smith']",Roger Donaldson
,0.0,"[{'id': 35, 'name': 'Comedy'}]",40506,en,Wally Sparks is a tabloid TV show reporter who's trying to boost ratings on his show. He goes to the governor's mansion to uncover a sex scandal.,0.576741,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-01-01,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",,,Meet Wally Sparks,5.3,10.0,1997,0.0,"['Rodney Dangerfield', 'Debi Mazar', 'Burt Reynolds']",Peter Baldwin
,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",31000,en,"When Andrew Sterling (Samuel L. Jackson), a successful black urbanite writer, buys a vacation home on a resort in New England the police mistake him for a burglar. After surrounding his home with armed men, Chief Tolliver (Dabney Coleman) realizes his mistake and to avoid the bad publicity offers a thief in his jail, Amos Odell (Nicolas Cage) a deal.",3.941294,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'New Line Cinema', 'id': 12}, {'name': 'Castle Rock Entertainment', 'id': 97}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-03-05,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Misunderstood. Misplaced. Mismatched.,Amos & Andrew,5.0,47.0,1993,0.0,"['Samuel L. Jackson', 'Michael Lerner', 'Margaret Colin']",E. Max Frye
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4104,en,A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton.,10.597116,"[{'name': 'Roth-Arnold Productions', 'id': 1560}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1993-04-16,23202734.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Português'}]",Released,A romance on the brink of reality.,Benny & Joon,6.9,220.0,1993,0.0,"['Johnny Depp', 'Mary Stuart Masterson', 'Aidan Quinn']",Jeremiah S. Chechik
,8000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",26306,en,"It's the true-life story of legendary track star Steve Prefontaine, the exciting and sometimes controversial ""James Dean of Track,"" whose spirit captured the heart of the nation! Cocky, charismatic, and tough, ""Pre"" was a running rebel who defied rules, pushed limits ... and smashed records ...",2.93818,"[{'name': 'Hollywood Pictures', 'id': 915}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-01-24,589304.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He beat the odds... And became a legend!,Prefontaine,6.7,21.0,1997,0.073663,"['Jared Leto', 'R. Lee Ermey', ""Ed O'Neill""]",Steve James
,0.0,"[{'id': 99, 'name': 'Documentary'}]",203829,en,"The retired life in Florida rescued, the Epstein brothers do again what they do best and have practiced for a lifetime music. A Tickle in the Heart captures the past, present, and future of the remarkable Epstein brothers - Max, Julie and Willie - Klezmer music legends on a joyous international comeback tour. This is a cinematic party with three of the funniest men in the show business. The Epsteins are natural performers, and their sense of life, music and family as they tour through places they love.",0.001688,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}]",1996-11-21,0.0,90.0,[],Released,,A Tickle in the Heart,0.0,0.0,1996,0.0,,Stefan Schwietert
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",43775,es,,0.496315,[],"[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'CU', 'name': 'Cuba'}]",1995-01-01,0.0,105.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Guantanamera,8.0,3.0,1995,0.0,"['Carlos Cruz ', 'Raúl Eguren ', 'Pedro Fernández ']",Tomás Gutiérrez Alea
McHale's Navy Collection,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",14908,en,"Retired Lieutenant Commander Quinton McHale spends his days puttering around the Caribbean in the old PT-73 selling homebrew, ice cream, and swimsuit calendars. He's brought out of retirement when his old nemesis turned the second best terrorist in the world, Major Vladikov, takes over the island of San Moreno and starts building a nuclear launch silo on it. With help from his old crew and hindrances from Captain Wallace B. Binghampton, who sank a cruise liner a while back, McHale tries to put Vladikov out of business.",2.705804,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'The Bubble Factory', 'id': 27128}, {'name': 'Sheinberg Productions', 'id': 38664}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-18,4529843.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,He's Under Siege and Out-of-Control.,McHale's Navy,4.4,27.0,1997,0.0,"['Tom Arnold', 'Dean Stockwell', 'Debra Messing']",Bryan Spicer
,0.0,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",784,cs,"The Czech Republic Director Jan Sverák tells in this Oscar winning film the story of the disillusioned Prague man named Cellisten Louka, who after a fictitious marriage with a Russian emigrant must suddenly take responsibility for her son. However it’s not long before the communication barrier is broken between the two new family members.",13.947867,"[{'name': 'Pandora Cinema', 'id': 185}, {'name': 'Portobello Pictures', 'id': 486}, {'name': 'Ceská Televize', 'id': 1083}, {'name': 'Biograf Jan Svěrák', 'id': 6419}, {'name': 'CinemArt', 'id': 7976}, {'name': ""Fonds Eurimages du Conseil de l'Europe"", 'id': 11011}, {'name': 'Centre National de la Cinématographie (CNC)', 'id': 18367}, {'name': 'Space Films', 'id': 29327}, {'name': 'The Czech Republic State Fund for Support and Development of Cinematography', 'id': 44592}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1996-05-05,5770254.0,105.0,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'ru', 'name': 'Pусский'}, {'iso_639_1': 'sk', 'name': 'Slovenčina'}]",Released,,Kolya,7.5,46.0,1996,0.0,"['Andrei Chalimon', 'Zdeněk Svěrák', 'Libuše Šafránková']",Jan Svěrák
,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",12489,en,"After a friend overdoses, Spoon and Stretch decide to kick their drug habits and attempt to enroll in a government detox program. Their efforts are hampered by seemingly endless red tape, as they are shuffled from one office to another while being chased by drug dealers and the police.",10.575081,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-01-29,0.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Life is a traffic jam.,Gridlock'd,6.8,55.0,1997,0.0,"['Tupac Amaru Shakur', 'Tim Roth', 'Thandie Newton']",Vondie Curtis-Hall
,0.0,"[{'id': 99, 'name': 'Documentary'}]",168283,en,"A documentary film about the exploits of the Tenth Mountain Division, an elite group of mountain climbers who fought decisive battles against the Nazis in the Italian Alps during the final days of World War II. From the intensive training atop the Colorado Rockies to the spectacular night climb of Italy's Riva Ridge.",0.001177,[],[],1996-11-29,0.0,72.0,[],Released,,Fire on the Mountain,0.0,0.0,1996,0.0,,
,0.0,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",16448,en,"Corky St. Clair is a director, actor and dancer in Blaine, Missouri. When it comes time to celebrate Blaine's 150th anniversary, Corky resolves to bring down the house in Broadway style in this hilarious mockumentary from the people who brought you ""This is Spinal Tap!""",8.130999,"[{'name': 'Sony Pictures Classics', 'id': 58}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Pale Morning Dun', 'id': 8841}, {'name': 'All Night Productions', 'id': 8842}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-01-31,0.0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,There's a good reason some talent remains undiscovered.,Waiting for Guffman,7.4,66.0,1996,0.0,"['Christopher Guest', 'Eugene Levy', 'Fred Willard']",Christopher Guest
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",55936,ru,"Based upon a short story by Leo Tolstoy, two Russian soldiers, Sacha and Vania, are ambushed by Muslim rebels in the grandly forbidding Caucasus and taken prisoner. Although complete understanding never fully emerges, their bittersweet ordeal reveals the human soul of two vastly different cultures.",1.015881,[],"[{'iso_3166_1': 'RU', 'name': 'Russia'}, {'iso_3166_1': 'KZ', 'name': 'Kazakhstan'}]",1996-03-15,0.0,99.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,"An extraordinary story of hope, courage and humanity.",Prisoner of the Mountains,6.6,14.0,1996,0.0,"['Oleg Menshikov', 'Sergei Bodrov Jr.', 'Jemal Sikharulidze']",Sergei Bodrov Jr.
,16000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",17894,en,The story follows the misadventures of a New York City beautician who is mistakenly hired as the school teacher for the children of the president of a small Eastern European country.,7.566377,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-07,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Once upon a time...,The Beautician and the Beast,5.2,53.0,1997,0.0,"['Timothy Dalton', 'Fran Drescher', 'Michael Lerner']",Ken Kwapis
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",28059,en,A group of suburban teenagers try to support each other through the difficult task of becoming adults.,8.67935,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Detour Filmproduction', 'id': 11510}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-02-07,656747.0,121.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,SubUrbia,6.4,32.0,1996,0.0,"['Jayce Bartok', 'Amie Carey', 'Nicky Katt']",Richard Linklater
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",58911,en,"10 years ago at a party, Steven thinks he sees the girl of his dreams, Melissa. Just as he's about to make his move, his twin brother Rick gets to her first and they fall in love. Steven watches his brother's relationship bloom, longing for Melissa all the while. Eventually, Melissa leaves to go to college and the brothers go on with their lives. Steven becomes a workaholic to block out his feelings about Melissa and Rick becomes a spineless bellboy at the Hotel de Love, after a later girl friend stood him up at the altar. Enter Steven and Rick's warring parents visiting the Hotel de Love for their anniversary. Re-enter Melissa with her current boyfriend, Norman. Suddenly Rick and Steven have a second chance at Melissa. Also there's Alison the palm reader, Susie behind the counter, the owner/piano player, and the freshly married couple.",0.228157,"[{'name': 'Village Roadshow', 'id': 6824}, {'name': 'Pratt FIlms', 'id': 6825}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}]",1996-12-19,0.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A comedy about the romantically challenged and passionately confused.,Hotel de Love,4.3,2.0,1996,0.0,"['Aden Young', 'Saffron Burrows', 'Simon Bossell']",Craig Rosenberg
,17000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",17949,en,"Fast-talking Latino con artist Pestario ""Pest"" Vargas is the target of Scottish mobsters to whom he owes a considerable debt. Willing to do anything to raise money and avoid severe injury or death, Vargas agrees to a very unusual job -- he will be transported to a remote island and hunted by Gustav Shank, a racist German executive. If he can survive a full day and night, Vargas gets $50,000 and will be set free. Is he wily enough to elude Shank?",3.194883,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'The Bubble Factory', 'id': 27128}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-07,0.0,82.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,What kind of freakazoid would let someone hunt him just for $50.000… Next question.,The Pest,5.0,35.0,1997,0.0,"['John Leguizamo', 'Jeffrey Jones', 'Edoardo Ballerini']",R. Paul Miller
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1968,en,"Alex Whitman (Matthew Perry) is a designer from New York City who is sent to Las Vegas to supervise the construction of a nightclub that his firm has been hired to build. Alex is a straight-laced WASP-ish type who, while enjoying a night on the town, meets Isabel Fuentes (Salma Hayek), a free-spirited Mexican-American photographer. Alex and Isabel are overtaken by lust at first sight and end up sp",6.285574,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-14,29481428.0,109.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,What if finding the love of your life meant changing the life that you loved?,Fools Rush In,5.8,133.0,1997,0.0,"['Matthew Perry', 'Salma Hayek', 'Jon Tenney']",Andy Tennant
,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}, {'id': 10749, 'name': 'Romance'}]",61563,en,"When Juvenal, a presumed miracle worker, appears on the scene Bill Hill attempts to exploit him but his plans go astray with the untimely intervention of August Murray and the developing relationship between Juvenal and Lynn Faulkner.",0.455272,"[{'name': 'United Artists', 'id': 60}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-14,0.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Wicked Comedy,Touch,6.0,10.0,1997,0.0,"['LL Cool J', 'Gina Gershon', 'Conchata Ferrell']",Paul Schrader
,50000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",66,en,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,7.66124,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Malpaso Productions', 'id': 171}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-14,50068310.0,121.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Corrupts Absolutely.,Absolute Power,6.4,226.0,1997,1.0013662,"['Clint Eastwood', 'Gene Hackman', 'Ed Harris']",Clint Eastwood
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",20735,en,"While making his nightly rounds in the neighborhood, Patti's pet cat D.C. finds himself the carrier of a call for help from a kidnap victim. Patti enlists skeptical law enforcement help to find the victim before it's too late.",1.496999,"[{'name': 'Walt Disney Pictures', 'id': 2}]",[],1997-02-14,0.0,89.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,"This FBI agent is purring his life on the line. Fortunately, he's got nine.",That Darn Cat,3.9,11.0,1997,0.0,"['Christina Ricci', 'Doug E. Doug', 'Dean Jones']",Bob Spiers
National Lampoon's Vacation Collection,25000000.0,"[{'id': 35, 'name': 'Comedy'}]",11419,en,"The Griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—Las Vegas.",9.304901,"[{'name': 'Jerry Weintraub Productions', 'id': 2596}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-13,36400360.0,93.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,This time the Griswolds are on a roll.,Vegas Vacation,6.0,175.0,1997,1.4560144,"['Chevy Chase', ""Beverly D'Angelo"", 'Randy Quaid']",Stephen Kessler
,0.0,[],333165,en,"It was a nightmare that shocked not only New York, but all of America. The public outcry about the Willowbrook State School for people with developmental disabilities resulted from Geraldo Rivera's expose on WABC after he had entered Willowbrook with a film crew in 1972, using a stolen key.",0.14057,[],[],1997-02-14,0.0,0.0,[],Released,,Unforgotten: Twenty-Five Years After Willowbrook,7.0,2.0,1997,0.0,,
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",25796,en,A bride's divorced parents find their old feelings for each other during the wedding reception and over the course of the next few days upsetting the newlywed's honeymoon.,1.954656,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Boy of the Year', 'id': 8855}, {'name': 'All Girl Productions', 'id': 10535}, {'name': 'The Bubble Factory', 'id': 27128}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-04,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,It was the perfect wedding except for two things... the bride's parents.,That Old Feeling,7.1,15.0,1997,0.0,"['Dennis Farina', 'Paula Marshall', 'Danny Nucci']",Carl Reiner
,15000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",638,en,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.",8.449722,"[{'name': 'Ciby 2000', 'id': 105}, {'name': 'October Films', 'id': 236}, {'name': 'Asymmetrical Productions', 'id': 373}, {'name': 'Lost Highway Productions', 'id': 374}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-01-15,3675201.0,134.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Lost Highway,7.5,572.0,1997,0.2450134,"['Bill Pullman', 'Patricia Arquette', 'John Roselius']",David Lynch
,30000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",25624,en,"Spurred by a white woman's lie, vigilantes destroy a black Florida town and slay inhabitants in 1923.",2.899809,"[{'name': 'New Deal Productions', 'id': 1947}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Peters Entertainment', 'id': 16774}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-21,13130349.0,140.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"In 1923, a black town in Florida was burned to the ground, its people murdered because of a lie. Some escaped and survived because of the courage and compassion of a few extraordinary people. This film is for them.",Rosewood,6.7,31.0,1997,0.4376783,"['Ving Rhames', 'Jon Voight', 'Don Cheadle']",John Singleton
,35000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",9366,en,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,12.201954,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Mark Johnson Productions', 'id': 2604}, {'name': 'Phoenix Pictures', 'id': 11317}, {'name': 'Baltimore Pictures', 'id': 11407}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-27,41954997.0,127.0,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Based on a true story.,Donnie Brasco,7.4,1175.0,1997,1.1987142,"['Johnny Depp', 'Al Pacino', 'Michael Madsen']",Mike Newell
,0.0,"[{'id': 35, 'name': 'Comedy'}]",60083,fr,,0.15935,[],"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DZ', 'name': 'Algeria'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'LU', 'name': 'Luxembourg'}]",1996-11-20,0.0,0.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Salut cousin !,3.3,4.0,1996,0.0,"['Gad Elmaleh', 'Messaoud Hattau', 'magaly Berdy']",Merzak Allouache
,0.0,"[{'id': 35, 'name': 'Comedy'}]",21915,en,"Rushon is sexually pent-up and ready to take thing things to the next level with his girlfriend, Nikki. But when he calls for a date, she asks to make it a double -- bringing along her brash friend Lysterine, whom Rushon sets up with his lewd buddy, Bunz. Things go better than expected. As the evening transitions from the restaurant to the bedroom, the two men go on a madcap search for what will surely make the night complete: condoms.",2.543626,"[{'name': 'Columbia Pictures', 'id': 5}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-26,20060051.0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some guys will do anything for a little something.,Booty Call,5.6,29.0,1997,0.0,"['Jamie Foxx', 'Tommy Davidson', 'Vivica A. Fox']",Jeff Pollack
,0.0,"[{'id': 99, 'name': 'Documentary'}]",90928,en,"A study in the world of hip-hop, done mostly with interviews, in order to see why it is as popular as it is today and what the future holds.",0.915041,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-03-04,0.0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Rhyme & Reason,6.3,8.0,1997,0.0,"['Dr. Dre', 'Nas', 'RZA']",Peter Spirer
,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",50091,en,"Compilation of four short films about homoerotic situations involving young men. In ""Trevor"", by Peggy Rajski, a teenager faces homophobia and falls in love for the first time. Tom DeCerchio directed ""Nunzio's Second Cousin"", telling the story of a gay cop who forces a gay-basher to come to his house and have dinner with his family. In ""Alkali, Iowa"", by Mark Christopher, a young gay man finds out some of his father's past secrets. And ""Must Be the Music"", by Nickolas Perry, follows four teenagers looking for love in nightclubs.",0.060645,"[{'name': 'Stand See', 'id': 15889}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-03-07,532654.0,74.0,[],Released,,Boys Life 2,5.0,1.0,1997,0.0,"['Michael Saucedo', 'Justin Urich', 'Milo Ventimiglia']",Mark Christopher
,8000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",18420,en,"A retired thief swears revenge on the lunatic who murdered his brother and partner, while going on the run with the loot they stole.",1.922014,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Largo Entertainment', 'id': 1644}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-03-14,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Wanting a man dead can be reason enough to live.,City of Industry,5.6,14.0,1997,0.0,"['Harvey Keitel', 'Timothy Hutton', 'Stephen Dorff']",John Irvin
,1000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",19952,en,"Four tuxedo clad men showing up at a penitentiary to meet a friend who has just been released after three years in prison and is going straight from the jail to marry his girlfriend. En route to the wedding, one of the men asks to stop by a bank to pick up some cash. As it turns out, he is a wanted bank robber who uses Shakespeare passages during his robberies and thus has become known as ""Hamlet"". Soon all five men are caught up in the bank and involved in the robbery as they end up in a hostage situation. The hostage negotiator shows up who turns out to be Hamlet's father.",6.610419,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'The Rank Organisation', 'id': 364}, {'name': 'Motion Picture Corporation of America (MPCA)', 'id': 11061}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-01-01,0.0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"A comedy thriller about four men, a wedding and everybody's funeral.",Best Men,5.6,8.0,1997,0.0,"['Dean Cain', 'Andy Dick', 'Sean Patrick Flanery']",Tamra Davis
,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",9446,en,"Uptight New York City executive, Michael Cromwell, pursues his soon-to-be ex-wife to South America and returns home with the son he never knew he had -- a boy raised in a tribal village in Brazil. Armed with only his blowgun, the 13-year-old Mimi-Siku discovers that the world outside his jungle home is indeed a strange place.",12.640569,"[{'name': 'Walt Disney Pictures', 'id': 2}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-03-07,0.0,97.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The big city is about to get a little savage.,Jungle 2 Jungle,4.9,122.0,1997,0.0,"['Tim Allen', 'Martin Short', 'JoBeth Williams']",John Pasquin
